channel,score,inter_var,intra_var
330,1.476961029285801,0.00010865034,7.3563344e-05
143,1.4504629147438248,8.0060614e-05,5.5196495e-05
405,1.3818099210460304,0.00012300296,8.901573e-05
439,1.3606172164686792,8.870036e-05,6.519117e-05
222,1.3250185641010808,0.00010375535,7.830473e-05
377,1.1640621712120385,3.98158e-05,3.4204088e-05
170,1.0791279724440936,6.0817547e-05,5.635795e-05
355,1.064553410118181,0.00014523635,0.00013642927
16,1.036047371318401,8.7911714e-05,8.485289e-05
408,0.9002813661957592,1.6407219e-05,1.8224446e-05
348,0.8288375392765336,0.00012475559,0.00015051865
289,0.8197846626796776,3.4379133e-05,4.1936684e-05
288,0.81725512854904,7.016322e-05,8.585219e-05
250,0.7765436019833278,4.5053806e-05,5.8018286e-05
216,0.7727672604979299,9.626798e-05,0.00012457554
334,0.6859801307628537,5.1671017e-05,7.5324264e-05
162,0.6627773378404259,1.9460895e-05,2.9362544e-05
342,0.6364383016467084,0.00017264964,0.00027127465
202,0.6276001644521506,3.113079e-05,4.96028e-05
73,0.6199219338099039,2.8025397e-05,4.5207846e-05
304,0.6124458688876749,3.764691e-05,6.146968e-05
273,0.6041808534164581,9.9489174e-05,0.00016466777
352,0.6014514336970999,3.3399603e-05,5.553157e-05
113,0.5938829518028934,1.9620822e-05,3.3038097e-05
151,0.5877506311163202,3.6123067e-05,6.145975e-05
8,0.5874581672661329,0.0001405871,0.00023931413
506,0.5857317205058459,1.386411e-05,2.3669627e-05
275,0.5781626614960564,3.1269963e-05,5.408496e-05
424,0.5739373928766427,4.2486598e-05,7.402644e-05
428,0.5735239812575955,2.1730735e-05,3.7889746e-05
69,0.5725243962715648,5.8130405e-05,0.0001015334
205,0.5604891481508201,2.4235336e-05,4.3239517e-05
485,0.5580583615789704,4.7521982e-05,8.5155836e-05
177,0.5580452394706283,4.571953e-05,8.19279e-05
138,0.5524336070514033,6.809441e-05,0.0001232625
371,0.537100356880137,0.00022392512,0.00041691476
105,0.5322905616930647,4.248755e-05,7.982012e-05
110,0.5196758540227379,3.8040576e-05,7.3200485e-05
258,0.5183422332014429,2.4131297e-05,4.655466e-05
333,0.5152882624134207,0.0007512941,0.0014580073
366,0.5129451245429032,2.4040064e-05,4.6866637e-05
176,0.5128421677949401,5.1278905e-05,9.998954e-05
511,0.49019320390505294,0.00024687903,0.0005036361
315,0.48293100030771574,2.5999496e-05,5.3836775e-05
479,0.47597260373143296,9.025028e-05,0.00018961224
267,0.4753035306607791,4.8745223e-05,0.00010255589
291,0.4712292339169424,2.1315107e-05,4.523289e-05
460,0.4706023247018944,4.6246983e-05,9.82718e-05
219,0.46945434443484324,0.000105124156,0.00022392829
9,0.46720719556477525,9.3956136e-05,0.00020110155
226,0.4664980768225408,8.611668e-06,1.8460143e-05
327,0.4643266505174705,2.0821826e-05,4.4842956e-05
64,0.4604769263049985,4.9922353e-05,0.00010841435
59,0.4601718785629394,9.509655e-05,0.00020665431
209,0.4595577655883503,0.00027225254,0.0005924228
62,0.45946621929895753,2.229609e-05,4.852597e-05
378,0.45930665755341815,5.3244483e-05,0.0001159235
497,0.4592210331460758,6.2985724e-05,0.00013715765
243,0.4558344418219623,3.7984053e-05,8.3328516e-05
490,0.45444631900473487,7.213703e-05,0.00015873599
163,0.4534262559874396,2.0542615e-05,4.5305205e-05
332,0.4531603263006322,5.0685827e-05,0.00011184956
390,0.4517933874317401,4.6208894e-05,0.00010227872
283,0.44838192992581893,1.8092796e-05,4.0351206e-05
111,0.44561054433849345,2.51169e-05,5.636504e-05
37,0.4442883967793629,1.9691288e-05,4.432086e-05
200,0.44329997657016,2.7955146e-05,6.3061365e-05
47,0.4403247603320936,3.948863e-05,8.9680594e-05
368,0.4390918392806787,1.6485055e-05,3.7543425e-05
57,0.4364984474393308,8.295633e-05,0.00019004944
369,0.4308781292222459,9.948206e-05,0.00023088203
357,0.42794063165641777,0.00012374471,0.00028916317
240,0.42783473140205,9.997828e-05,0.00023368424
136,0.4228683734592141,6.299112e-05,0.00014896144
63,0.42023657660250785,1.7351436e-05,4.1289586e-05
214,0.4172896704022947,4.9007598e-05,0.000117442534
477,0.41480317827873264,0.0007761565,0.0018711439
80,0.41298743694717277,6.8883084e-05,0.0001667921
324,0.4129592743683426,0.0005220478,0.0012641628
398,0.40958890373629314,6.614079e-05,0.00016148081
457,0.40926248674718946,2.475911e-05,6.0496797e-05
372,0.40907728163946094,0.00019633149,0.0004799373
147,0.40327567570788553,0.00011765968,0.00029175982
254,0.4031838951030092,2.3247761e-05,5.766034e-05
263,0.40275688633213047,2.3774925e-05,5.903036e-05
212,0.40122337943156505,2.7405922e-05,6.8305795e-05
118,0.4007264163681774,0.0001022777,0.00025523064
225,0.39863017805400386,8.983206e-05,0.00022535177
139,0.3984720874332295,3.3881413e-05,8.502822e-05
271,0.39546063756114275,2.7407388e-05,6.930487e-05
279,0.39437753991011887,4.2303367e-05,0.00010726607
56,0.39407545503016095,4.280134e-05,0.000108611945
498,0.38915782466312643,7.8454905e-05,0.00020160167
166,0.3882599297228792,1.2272482e-05,3.1608834e-05
46,0.38786720724506873,2.2764298e-05,5.8690857e-05
124,0.38722780793786465,1.0268951e-05,2.6519047e-05
463,0.3864874243413271,2.1447677e-05,5.5493754e-05
133,0.3863162885183793,3.1120453e-05,8.055683e-05
13,0.38582230839309295,2.2830627e-05,5.9173843e-05
41,0.3832826350836113,2.5918385e-05,6.762202e-05
248,0.38169632121898306,1.8115117e-05,4.74594e-05
84,0.38165630974625775,9.478967e-05,0.00024836385
155,0.37918880441044545,0.00016135532,0.00042552754
338,0.37890870789602427,2.1293323e-05,5.6196346e-05
397,0.377283146264265,1.3307959e-05,3.5273035e-05
31,0.37725216038862214,0.00011481548,0.00030434667
429,0.3762329599324434,0.00011372541,0.0003022738
96,0.37608979040783147,9.109074e-05,0.00024220467
23,0.37540668792551574,3.324807e-05,8.856537e-05
309,0.37313037119842235,6.1926316e-05,0.00016596419
236,0.37257210243563377,0.00013581647,0.00036453732
5,0.36950939361472995,2.4190114e-05,6.546539e-05
154,0.3668859141776615,9.698787e-05,0.0002643542
446,0.3661469637539057,4.19838e-05,0.00011466369
360,0.3659614135570329,0.0001001892,0.00027376975
257,0.36338882814150747,2.7770637e-05,7.642117e-05
164,0.36236021861415213,5.5352215e-05,0.00015275457
196,0.3622658729445152,1.8315217e-05,5.055729e-05
125,0.36205291755741004,5.6277102e-05,0.00015543879
501,0.3618545728414696,2.5279967e-05,6.986213e-05
160,0.36122306514574576,1.2552101e-05,3.474879e-05
416,0.3584247660433052,1.9107181e-05,5.3308664e-05
117,0.3573462424896921,9.715617e-05,0.00027188234
431,0.35685438597424884,5.634067e-05,0.0001578813
449,0.3555175032183692,3.9622093e-05,0.000111448964
441,0.35363165888100306,5.811826e-05,0.00016434678
284,0.35280177785008704,5.6435314e-05,0.00015996314
184,0.35239874412158284,2.1111977e-05,5.9909242e-05
7,0.3499373457372628,6.7085246e-05,0.00019170635
361,0.34978857921449424,5.5406632e-05,0.00015840025
508,0.34978546289378076,1.6012022e-05,4.5776593e-05
239,0.34977860003803674,0.00015819317,0.00045226648
445,0.348706483514629,5.0107727e-05,0.0001436959
507,0.347535379357534,0.000115658586,0.00033279648
127,0.34705250145919303,0.000100744335,0.00029028548
256,0.3461968498921436,3.4951518e-05,0.00010095841
10,0.3452430280258792,3.9395953e-05,0.000114110684
220,0.34230597352733527,4.4838194e-05,0.00013098854
496,0.34173205918166616,1.0947334e-05,3.2034746e-05
11,0.34157276952594984,4.8275306e-05,0.00014133232
475,0.3406413722914764,7.6186465e-05,0.00022365584
116,0.34027872084776556,0.00019453838,0.00057170296
425,0.33997283305259024,8.534194e-06,2.5102478e-05
235,0.3398714055084809,3.0791547e-05,9.059754e-05
169,0.339089757798783,9.329094e-05,0.00027512157
