intra_voice_similarity,inter_voice_similarity,acoustics_score,separability_ratio,intra_dist_mean,inter_dist_mean,num_voices,num_samples,embedding_dim,config_name,extraction_point,pooling_method,audio_duration,post_processing
0.9975758347335535,0.9959230655875653,0.0016527691459882199,1.0809922474550253,0.06864226130305459,0.0742017523163841,21,210,512,layer0_encoder_mean_pooling,layer0_encoder,mean_pooling,,
0.9891861295570262,0.9883059012502577,0.0008802283067684824,0.6015806001526314,0.20907494145095665,0.12577542875494277,21,210,512,layer0_encoder_max_pooling,layer0_encoder,max_pooling,,
0.9967301539248701,0.9952472888091455,0.0014828651157245964,0.9697137657235164,0.08304330444446316,0.0805282354709648,21,210,1024,layer0_encoder_stats_pooling,layer0_encoder,stats_pooling,,
0.9851606729725711,0.9903451823091458,-0.005184509336574661,0.4333974012039665,0.1557376212897469,0.06749628033666384,21,210,512,layer0_encoder_first_frame,layer0_encoder,first_frame,,
0.9847122252168925,0.9850150884141905,-0.0003028631972979978,0.298496700647311,0.15094350981686225,0.04505613966445838,21,210,512,layer0_encoder_last_frame,layer0_encoder,last_frame,,
0.9222442145158258,0.8930241203588939,0.02922009415693194,0.9414057504434001,0.05299077113627126,0.04988581666811591,21,210,512,layer2_transformer_mean_pooling,layer2_transformer,mean_pooling,,
0.9537035714152767,0.9541022412106989,-0.0003986697954221352,0.5139132652898167,0.16221032129236,0.08336203587906701,21,210,512,layer2_transformer_max_pooling,layer2_transformer,max_pooling,,
0.9674031819063161,0.9618437062833205,0.0055594756229956355,0.8473763806700327,0.06332870819187038,0.05366325154013577,21,210,1024,layer2_transformer_stats_pooling,layer2_transformer,stats_pooling,,
0.9734954425056057,0.982102695592376,-0.008607253086770239,0.4287235299534326,0.08967369842588183,0.03844522453312363,21,210,512,layer2_transformer_first_frame,layer2_transformer,first_frame,,
0.7598734381089,0.745791873671337,0.014081564437562921,0.48128599943520345,0.13921220080247002,0.06700088319679101,21,210,512,layer2_transformer_last_frame,layer2_transformer,last_frame,,
0.8555130227063521,0.8597527127699605,-0.004239690063608359,0.7725250788771741,0.04918505280776314,0.037996686799895193,21,210,512,layer4_transformer_mean_pooling,layer4_transformer,mean_pooling,,
0.9609521525461489,0.9663777323734504,-0.005425579827301519,0.4655434865943414,0.143598426941526,0.06685131234782082,21,210,512,layer4_transformer_max_pooling,layer4_transformer,max_pooling,,
0.961154734167344,0.9688929977764136,-0.0077382636090695955,0.6682878810269794,0.06193555800056962,0.041390782816424256,21,210,1024,layer4_transformer_stats_pooling,layer4_transformer,stats_pooling,,
0.9911750986102715,0.9944326767349332,-0.003257578124661653,0.41435686607564204,0.063457687297807,0.026294128437127386,21,210,512,layer4_transformer_first_frame,layer4_transformer,first_frame,,
0.7411416834199134,0.70899600061598,0.03214568280393337,0.547071808744405,0.12713239303932936,0.06955054821003051,21,210,512,layer4_transformer_last_frame,layer4_transformer,last_frame,,
0.8622275914820848,0.8946004480075191,-0.03237285652543431,0.6845643576294196,0.04264419535717005,0.029192696201304595,21,210,512,layer6_transformer_mean_pooling,layer6_transformer,mean_pooling,,
0.9546483091403696,0.9674905587074267,-0.012842249567057151,0.4434673725494668,0.12039496884459541,0.05339124050168764,21,210,512,layer6_transformer_max_pooling,layer6_transformer,max_pooling,,
0.9557538148810941,0.9710270976107224,-0.015273282729628246,0.6024220204137515,0.05338450179450096,0.03215999942982481,21,210,1024,layer6_transformer_stats_pooling,layer6_transformer,stats_pooling,,
0.9895004967074674,0.9936064926472677,-0.004105995939800322,0.41859862515818547,0.05502905053973245,0.023035084899692308,21,210,512,layer6_transformer_first_frame,layer6_transformer,first_frame,,
0.8117498210166953,0.7985319085294478,0.013217912487247574,0.49057326110333876,0.08354420488473599,0.04098455303659042,21,210,512,layer6_transformer_last_frame,layer6_transformer,last_frame,,
0.749975466735962,0.727204296389777,0.022771170346185032,0.8254995524582487,0.031057564445115902,0.025638005549886395,21,210,512,layer8_transformer_mean_pooling,layer8_transformer,mean_pooling,,
0.9505630342444609,0.9543523546897081,-0.0037893204452472684,0.5490835502134808,0.08800918186704318,0.048324394030939966,21,210,512,layer8_transformer_max_pooling,layer8_transformer,max_pooling,,
0.9509168030699493,0.9523521472457747,-0.0014353441758253593,0.7662804083509138,0.036794467083124255,0.02819487926151071,21,210,1024,layer8_transformer_stats_pooling,layer8_transformer,stats_pooling,,
0.8851808528742605,0.9357885270604703,-0.05060767418620982,0.41870868943150646,0.05355280355463191,0.02242302419174285,21,210,512,layer8_transformer_first_frame,layer8_transformer,first_frame,,
0.7388958822001551,0.7207374888179808,0.018158393382174287,0.4595176962098305,0.06184041438200486,0.028416764749480145,21,210,512,layer8_transformer_last_frame,layer8_transformer,last_frame,,
0.749975466735962,0.727204296389777,0.022771170346185032,0.8254995524582487,0.031057564445115902,0.025638005549886395,21,210,512,final_mean_pooling,final,mean_pooling,,
0.9505630342444609,0.9543523546897081,-0.0037893204452472684,0.5490835502134808,0.08800918186704318,0.048324394030939966,21,210,512,final_max_pooling,final,max_pooling,,
0.9509168030699493,0.9523521472457747,-0.0014353441758253593,0.7662804083509138,0.036794467083124255,0.02819487926151071,21,210,1024,final_stats_pooling,final,stats_pooling,,
0.8851808528742605,0.9357885270604703,-0.05060767418620982,0.41870868943150646,0.05355280355463191,0.02242302419174285,21,210,512,final_first_frame,final,first_frame,,
0.7388958822001551,0.7207374888179808,0.018158393382174287,0.4595176962098305,0.06184041438200486,0.028416764749480145,21,210,512,final_last_frame,final,last_frame,,
